year,quarter,quarter_start_date,quarter_end_date,permno,ticker,cusip,comnam,dollar_vol
2005,1,2005-01-01,2005-03-31,66325,SLM,78442P10,S L M CORP,21407390.13
2005,1,2005-01-01,2005-03-31,59248,RKY,60871R20,COORS ADOLPH CO,21317696.0
2005,1,2005-01-01,2005-03-31,78840,IACI,44891N20,IAC INTERACTIVECORP,21241568.72
2005,1,2005-01-01,2005-03-31,77462,FD,55616P10,FEDERATED DEPT STORES INC DEL,21227920.8
2005,1,2005-01-01,2005-03-31,80193,BZH,07556Q88,BEAZER HOMES USA INC,21126649.5
2005,1,2005-01-01,2005-03-31,54148,PHM,74586710,PULTE HOMES INC,21110841.92
2005,1,2005-01-01,2005-03-31,21371,CAH,14149Y10,CARDINAL HEALTH INC,21107159.04
2005,1,2005-01-01,2005-03-31,50227,BNI,12189T10,BURLINGTON NORTHERN SANTA FE CP,21087856.02
2005,1,2005-01-01,2005-03-31,12067,NVLS,67000810,NOVELLUS SYSTEMS INC,21027031.95
2005,1,2005-01-01,2005-03-31,21573,IP,46014610,INTERNATIONAL PAPER CO,20973007.35
2005,1,2005-01-01,2005-03-31,45751,MMC,57174810,MARSH & MCLENNAN COS INC,20956422.5
2005,1,2005-01-01,2005-03-31,21776,EXC,30161N10,EXELON CORP,20828076.75
2005,1,2005-01-01,2005-03-31,77437,STEM,59503A20,STEMCELLS INC,20746134.62
2005,1,2005-01-01,2005-03-31,72726,STT,85747710,STATE STREET CORP,20632092.35
2005,1,2005-01-01,2005-03-31,41355,PH,70109410,PARKER HANNIFIN CORP,20539930.68
2005,1,2005-01-01,2005-03-31,80913,ACS,00819010,AFFILIATED COMPUTER SERVICES INC,20519368.64
2005,1,2005-01-01,2005-03-31,82643,LXK,52977110,LEXMARK INTERNATIONAL INC NEW,20519269.7
2005,1,2005-01-01,2005-03-31,53831,CTX,15231210,CENTEX CORP,20254126.36
2005,1,2005-01-01,2005-03-31,84381,ROK,77390310,ROCKWELL AUTOMATION INC,20153973.95
2005,1,2005-01-01,2005-03-31,22103,EMR,29101110,EMERSON ELECTRIC CO,19673818.84
2005,1,2005-01-01,2005-03-31,70033,HDI,41282210,HARLEY DAVIDSON INC,19613712.67
2005,1,2005-01-01,2005-03-31,80432,AEOS,02553E10,AMERICAN EAGLE OUTFITTERS INC NE,19582180.8
2005,1,2005-01-01,2005-03-31,30681,OMC,68191910,OMNICOM GROUP INC,19500930.8
2005,1,2005-01-01,2005-03-31,25487,CD,05377410,CENDANT CORP,19412759.55
2005,1,2005-01-01,2005-03-31,24766,NOC,66680710,NORTHROP GRUMMAN CORP,19283380.96
2005,1,2005-01-01,2005-03-31,18403,JCP,70816010,PENNEY J C CO INC,19083408.48
2005,1,2005-01-01,2005-03-31,68304,BSC,07390210,BEAR STEARNS COMPANIES INC,19062543.56
2005,1,2005-01-01,2005-03-31,48725,UNP,90781810,UNION PACIFIC CORP,19020803.6
2005,1,2005-01-01,2005-03-31,44644,ADP,05301510,AUTOMATIC DATA PROCESSING INC,19004760.16
2005,1,2005-01-01,2005-03-31,14656,SUN,86764P10,SUNOCO INC,18889878.41
2005,1,2005-01-01,2005-03-31,64936,D,25746U10,DOMINION RESOURCES INC VA NEW,18774089.24
2005,1,2005-01-01,2005-03-31,88991,BTU,70454920,PEABODY ENERGY CORP,18763904.25
2005,1,2005-01-01,2005-03-31,75224,HAR,41308610,HARMAN INTL INDS INC NEW,18688481.25
2005,1,2005-01-01,2005-03-31,60506,PCAR,69371810,PACCAR INC,18592765.8
2005,1,2005-01-01,2005-03-31,17005,CVS,12665010,C V S CORP,18462919.95
2005,1,2005-01-01,2005-03-31,18092,BMET,09061310,BIOMET INC,18371240.64
2005,1,2005-01-01,2005-03-31,77103,IMCL,45245W10,IMCLONE SYSTEMS INC,18356858.55
2005,1,2005-01-01,2005-03-31,47941,GCI,87901J10,GANNETT CO INC,18307229.04
2005,1,2005-01-01,2005-03-31,60442,PNC,69347510,P N C FINANCIAL SERVICES GRP INC,18225406.14
2005,1,2005-01-01,2005-03-31,89265,APPX,00202H10,AMERICAN PHARMACEUTICAL PARTNERS,18134176.5
2005,1,2005-01-01,2005-03-31,81774,FCX,35671D85,FREEPORT MCMORAN COPPER & GOLD,18130802.31
2005,1,2005-01-01,2005-03-31,79212,XTO,98385X10,X T O ENERGY INC,18101764.17
2005,1,2005-01-01,2005-03-31,83976,ANF,00289620,ABERCROMBIE & FITCH CO,18093069.4
2005,1,2005-01-01,2005-03-31,68857,CVC,12686C10,CABLEVISION SYSTEMS CORP,17991943.2
2005,1,2005-01-01,2005-03-31,79879,JDSU,92555010,J D S UNIPHASE CORP,17957520.25
2005,1,2005-01-01,2005-03-31,85724,CECO,71363P10,CAREER EDUCATION CORP,17951635.0
2005,1,2005-01-01,2005-03-31,82775,HIG,41651510,HARTFORD FINANCIAL SVCS GRP INC,17923297.11
2005,1,2005-01-01,2005-03-31,10143,OSIP,67104010,O S I PHARMACEUTICALS INC,17867931.9
2005,1,2005-01-01,2005-03-31,11762,ETN,G2918310,EATON CORP,17691133.98
2005,1,2005-01-01,2005-03-31,77976,MFE,57906410,MCAFEE INC,17615663.45
2005,1,2005-01-01,2005-03-31,89258,PRU,74432010,PRUDENTIAL FINANCIAL INC,17528620.86
2005,1,2005-01-01,2005-03-31,15069,MRO,56584910,MARATHON OIL CORP,17084964.9
2005,1,2005-01-01,2005-03-31,20220,BDK,09179710,BLACK & DECKER CORP,16963111.2
2005,1,2005-01-01,2005-03-31,75489,SPLS,85503010,STAPLES INC,16839426.12
2005,1,2005-01-01,2005-03-31,77661,DHI,23331A10,D R HORTON INC,16780198.5
2005,1,2005-01-01,2005-03-31,57665,NKE,65410610,NIKE INC,16762038.7
2005,1,2005-01-01,2005-03-31,89813,MHS,58405U10,MEDCO HEALTH SOLUTIONS INC,16694166.06
2005,1,2005-01-01,2005-03-31,90284,MCIP,55269110,M C I INC,16545688.86
2005,1,2005-01-01,2005-03-31,62383,RYL,78376410,RYLAND GROUP INC,16449734.6
2005,1,2005-01-01,2005-03-31,89835,SGTL,82661W10,SIGMATEL INC,16443743.68
2005,1,2005-01-01,2005-03-31,76090,HET,41361910,HARRAHS ENTERTAINMENT INC,16412424.24
2005,1,2005-01-01,2005-03-31,90879,PHS,69511210,PACIFICARE HEALTH SYS INC DEL,16363657.38
2005,1,2005-01-01,2005-03-31,86158,CTSH,19244610,COGNIZANT TECHNOLOGY SOLS CORP,16355252.3
2005,1,2005-01-01,2005-03-31,89130,L,53071810,LIBERTY MEDIA CORP NEW,16287611.04
2005,1,2005-01-01,2005-03-31,81696,DISH,25470M10,ECHOSTAR COMMUNICATIONS CORP NEW,16251059.97
2005,1,2005-01-01,2005-03-31,51377,NSM,63764010,NATIONAL SEMICONDUCTOR CORP,16237495.28
2005,1,2005-01-01,2005-03-31,89533,WYNN,98313410,WYNN RESORTS LTD,16172013.0
2005,1,2005-01-01,2005-03-31,86964,FFIV,31561610,F 5 NETWORKS INC,16135021.98
2005,1,2005-01-01,2005-03-31,39917,WY,96216610,WEYERHAEUSER CO,16073740.8
2005,1,2005-01-01,2005-03-31,64186,CI,12552310,C I G N A CORP,16063883.25
2005,1,2005-01-01,2005-03-31,81540,ABC,03073E10,AMERISOURCEBERGEN CORP,16060627.56
2005,1,2005-01-01,2005-03-31,68144,STI,86791410,SUNTRUST BANKS INC,16046128.02
2005,1,2005-01-01,2005-03-31,23318,CHIR,17004010,CHIRON CORP,15962537.7
2005,1,2005-01-01,2005-03-31,88661,COH,87603010,COACH INC,15944405.4
2005,1,2005-01-01,2005-03-31,49680,DHR,23585110,DANAHER CORP,15739419.36
2005,1,2005-01-01,2005-03-31,86845,CBH,20051910,COMMERCE BANCORP INC NJ,15580681.2
2005,1,2005-01-01,2005-03-31,78975,INTU,46120210,INTUIT INC,15575820.0
2005,1,2005-01-01,2005-03-31,64311,NSC,65584410,NORFOLK SOUTHERN CORP,15412326.12
2005,1,2005-01-01,2005-03-31,77281,WFMI,96683710,WHOLE FOODS MARKET INC,15380597.68
2005,1,2005-01-01,2005-03-31,59459,STA,89417E10,ST PAUL TRAVELERS COS INC,15328520.5
2005,1,2005-01-01,2005-03-31,24010,ETR,29364G10,ENTERGY CORP NEW,15248655.84
2005,1,2005-01-01,2005-03-31,87842,MET,59156R10,METLIFE INC,15136124.25
2005,1,2005-01-01,2005-03-31,37584,BEN,35461310,FRANKLIN RESOURCES INC,14968151.64
2005,1,2005-01-01,2005-03-31,59483,YELL,98551010,YELLOW ROADWAY CORP,14942527.58
2005,1,2005-01-01,2005-03-31,79991,MACR,55610010,MACROMEDIA INC,14896043.52
2005,1,2005-01-01,2005-03-31,11891,MGG,55295310,M G M MIRAGE,14755806.04
2005,1,2005-01-01,2005-03-31,27959,DUK,26441C20,DUKE ENERGY CORP,14701387.56
2005,1,2005-01-01,2005-03-31,62519,ESV,26874Q10,E N S C O INTERNATIONAL INC,14639589.09
